Inquiry_ID,Date,Channel,Category,Department,Root_Cause,Urgency,Response_Hours,Resolution_Hours,Status,CSAT,Repeat_Contact,Current_State_Misrouted,Inquiry_Text
GGU-SIM-00034,24-04-2026,Web Chat,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,6.9,34.1,Resolved,5,0,1,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-00035,19-05-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Medium,6.3,17.6,Resolved,5,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00036,11-04-2026,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,7.8,37.1,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00037,03-06-2026,Web Chat,IT / Course Access,IT Help Desk,Brightspace/course access,High,6.5,15.3,Resolved,5,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00038,01-02-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Normal,23.7,30.4,Resolved,4,1,0,I need help understanding a charge on my student account.
GGU-SIM-00039,29-11-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Normal,7.1,37.7,Resolved,4,1,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00040,15-04-2026,myGGU/Portal,Registration / Records,Registrar's Office,Enrollment verification,Normal,16,21.5,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00041,18-10-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Medium,2.4,36,Open,,0,0,I submitted financial aid documents and want to know if anything else is needed this week.
GGU-SIM-00042,20-07-2026,Web Chat,Academic Advising,Academic Advising,Graduation planning,Medium,4.7,40.9,Resolved,4,1,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00043,06-04-2026,Web Chat,IT / Course Access,IT Help Desk,Brightspace/course access,High,2.9,15.2,Resolved,5,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00044,14-06-2026,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Normal,5.3,48.1,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-00045,02-05-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Medium,7.9,36.2,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed this week.
GGU-SIM-00046,30-12-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,6.3,15,Resolved,5,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00047,17-02-2026,Phone (logged),Academic Advising,Academic Advising,Graduation planning,High,7.6,48.4,Resolved,4,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00048,22-06-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Medium,6.4,40,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts soon.
GGU-SIM-00049,06-07-2026,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Normal,2.8,8.6,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed soon.
GGU-SIM-00050,05-11-2025,Web Chat,International Student Support,International Student Support,International student resource,Normal,5.3,46.6,Resolved,3,1,0,I have a question about my student status documentation and an upcoming deadline before the deadline.
GGU-SIM-00051,12-01-2026,Email,IT / Course Access,IT Help Desk,Password reset,Medium,2.1,15.7,Resolved,5,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-00052,29-04-2026,myGGU/Portal,International Student Support,International Student Support,Visa/status documentation,Medium,2.1,28.6,Resolved,4,0,0,I have a question about my student status documentation and an upcoming deadline before the deadline.
GGU-SIM-00053,12-12-2025,Email,Accessibility / Other Support,Student Services / Accessible Education,Accommodation documentation,Normal,17.2,57.7,Resolved,5,0,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-00054,08-07-2026,Phone (logged),Registration / Records,Registrar's Office,Course availability,Medium,3.1,13.6,Open,,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00055,11-12-2025,Email,Registration / Records,Registrar's Office,Add/drop deadline question,High,3.3,32.3,Resolved,5,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00056,22-09-2025,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Wellness/resource question,Medium,4.5,22.4,Resolved,5,1,0,I have a temporary condition and want to understand available support options.
GGU-SIM-00057,05-03-2026,Web Chat,Academic Advising,Academic Advising,Concentration change,Normal,15.7,95.1,Resolved,5,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00058,01-07-2026,myGGU/Portal,Academic Advising,Academic Advising,Policy/requirement clarification,Medium,3.1,10,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00059,15-09-2025,Web Chat,Registration / Records,Registrar's Office,Enrollment verification,Medium,15.9,24.3,Resolved,5,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00060,23-05-2026,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Normal,1.9,21.9,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00061,18-10-2025,Email,International Student Support,International Student Support,CPT/OPT information,Medium,13.7,39.6,Resolved,4,0,0,I need support with an international student enrollment/status question.
GGU-SIM-00062,17-02-2026,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,3.8,41.2,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00063,08-12-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Normal,20.2,28,Resolved,4,0,1,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00064,01-12-2025,Web Chat,Registration / Records,Registrar's Office,Transcript/record request,Normal,9.6,23.4,Resolved,4,0,1,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00065,07-09-2025,Email,Academic Advising,Academic Advising,Graduation planning,Medium,3.5,42.9,Resolved,5,1,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00066,10-05-2026,Email,IT / Course Access,IT Help Desk,Login/authentication issue,High,3.8,14.4,Resolved,5,0,1,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-00067,02-04-2026,Email,Academic Advising,Academic Advising,Graduation planning,Medium,9.3,43.1,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00068,01-10-2025,Email,Academic Advising,Academic Advising,Graduation planning,Medium,3.5,62.7,Resolved,4,1,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00069,19-08-2026,Email,Registration / Records,Registrar's Office,Course availability,High,8.1,28.8,Resolved,4,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00070,14-01-2026,Email,Registration / Records,Registrar's Office,Course availability,High,3.2,69,Resolved,5,1,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00071,05-02-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,2.4,8.3,Resolved,5,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-00072,04-07-2026,myGGU/Portal,Academic Advising,Academic Advising,Degree plan clarification,Medium,8.6,21,Resolved,4,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00073,11-08-2026,Phone (logged),IT / Course Access,IT Help Desk,myGGU portal issue,Medium,8.5,24.3,Resolved,4,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-00074,10-05-2026,myGGU/Portal,Academic Advising,Academic Advising,Degree plan clarification,Medium,3.6,19.2,Resolved,4,1,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00075,25-03-2026,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,High,2.9,31.1,Resolved,3,1,0,I need help understanding a charge on my student account.
GGU-SIM-00076,01-09-2025,Email,International Student Support,International Student Support,International student resource,High,1.3,16.1,Resolved,5,0,0,I need support with an international student enrollment/status question.
GGU-SIM-00077,15-01-2026,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,7,52.4,Resolved,4,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-00078,10-06-2026,Email,IT / Course Access,IT Help Desk,Login/authentication issue,High,1.3,11.4,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00079,14-05-2026,Email,International Student Support,International Student Support,CPT/OPT information,Normal,10.2,22.9,Resolved,4,0,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-00080,09-11-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,Normal,10,28.2,Resolved,4,1,0,I need help understanding a charge on my student account.
GGU-SIM-00081,04-08-2026,Email,Academic Advising,Academic Advising,Concentration change,Medium,6.6,28.9,Resolved,4,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00082,24-08-2026,Web Chat,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,7.9,20.4,Resolved,5,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00083,06-08-2026,Web Chat,Registration / Records,Registrar's Office,Prerequisite/registration hold,High,6.3,29.6,Resolved,5,0,1,I need help adding a course before the deadline soon. Which office should handle this?
GGU-SIM-00084,22-04-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Login/authentication issue,Normal,2.9,18.5,Resolved,3,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00085,12-10-2025,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Normal,3.5,26.2,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00086,17-08-2026,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Medium,16,46.3,Resolved,5,0,0,I need help adding a course before the deadline tomorrow. Which office should handle this?
GGU-SIM-00087,24-09-2025,Email,Career Services,Career Services,Employer/job resource,Medium,1.5,61.9,Resolved,5,0,0,I am looking for employer and job-search resources available to students.
GGU-SIM-00088,10-07-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Normal,3.9,25.8,Resolved,3,0,0,My myGGU login is not working and I need to check my registration before the deadline.
GGU-SIM-00089,27-04-2026,myGGU/Portal,Career Services,Career Services,Employer/job resource,Normal,5.7,49.4,Resolved,4,0,0,How can I schedule a career advising appointment?
GGU-SIM-00090,02-02-2026,Email,Academic Advising,Academic Advising,Course selection,Medium,5.8,23.1,Resolved,3,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00091,22-03-2026,Email,International Student Support,International Student Support,CPT/OPT information,Normal,8.9,45.7,Resolved,3,0,0,I have a question about my student status documentation and an upcoming deadline today.
GGU-SIM-00092,22-12-2025,Web Chat,International Student Support,International Student Support,Travel/signature timing,Normal,18.3,48.9,Resolved,5,0,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-00093,06-02-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Medium,12.9,38,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00094,07-03-2026,myGGU/Portal,Academic Advising,Academic Advising,Graduation planning,Medium,10.6,67.8,Resolved,5,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00095,29-10-2025,Web Chat,Registration / Records,Registrar's Office,Enrollment verification,Medium,10.3,13.8,Resolved,4,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00096,17-10-2025,Web Chat,Academic Advising,Academic Advising,Concentration change,Normal,11.4,26.3,Resolved,5,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00097,26-10-2025,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Tutoring/resource referral,Normal,1.5,23.5,Resolved,3,0,0,I need information about requesting an academic accommodation.
GGU-SIM-00098,25-08-2026,Web Chat,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,6.6,26.7,Resolved,4,0,1,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00099,21-04-2026,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,7.2,15.1,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00100,22-01-2026,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Accommodation documentation,Normal,13.6,29.7,Resolved,4,1,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-00101,03-03-2026,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Accommodation documentation,Medium,3.8,15.7,Resolved,4,0,0,I need help finding the right student service for my situation.
GGU-SIM-00102,11-09-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,Normal,3.2,28.1,Resolved,3,0,0,I submitted financial aid documents and want to know if anything else is needed this week.
GGU-SIM-00103,29-12-2025,Email,International Student Support,International Student Support,CPT/OPT information,Normal,4.6,34.6,Resolved,4,0,0,I have a question about my student status documentation and an upcoming deadline tomorrow.
GGU-SIM-00104,07-11-2025,Email,Career Services,Career Services,Resume/interview support,Medium,4.2,14.7,Resolved,5,1,0,How can I schedule a career advising appointment?
GGU-SIM-00105,18-04-2026,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Medium,3.6,5,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-00106,27-07-2026,Web Chat,Registration / Records,Registrar's Office,Add/drop deadline question,Medium,4.3,40.6,Resolved,3,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00107,15-11-2025,Email,Registration / Records,Registrar's Office,Add/drop deadline question,Normal,34.6,77.3,Resolved,3,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00108,09-04-2026,myGGU/Portal,Academic Advising,Academic Advising,Degree plan clarification,Normal,8.1,27.2,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00109,08-02-2026,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Normal,3.8,11.7,Resolved,5,1,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00110,06-11-2025,Web Chat,Registration / Records,Registrar's Office,Course availability,Medium,9.2,18.9,Resolved,4,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00111,26-01-2026,Web Chat,IT / Course Access,IT Help Desk,Account provisioning delay,High,7.9,33.8,Resolved,4,1,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-00112,12-06-2026,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Normal,1.9,40.2,Resolved,4,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00113,14-09-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Normal,6.3,20.3,Resolved,4,0,1,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-00114,25-03-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,3.6,17.8,Resolved,3,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00115,18-06-2026,Email,Registration / Records,Registrar's Office,Course availability,High,5.6,22.5,Resolved,4,1,1,I need help adding a course before the deadline today. Which office should handle this?
GGU-SIM-00116,08-07-2026,myGGU/Portal,Academic Advising,Academic Advising,Concentration change,Normal,8.3,35.2,Resolved,4,1,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00117,05-02-2026,myGGU/Portal,Academic Advising,Academic Advising,Degree plan clarification,Medium,6.5,10.8,Resolved,5,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00118,01-11-2025,Web Chat,Registration / Records,Registrar's Office,Add/drop deadline question,High,2.3,10.8,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00119,07-10-2025,myGGU/Portal,International Student Support,International Student Support,Enrollment/status question,High,3.5,43.5,Resolved,3,0,0,I need support with an international student enrollment/status question.
GGU-SIM-00120,02-04-2026,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,High,19.7,24.7,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-00121,16-10-2025,Email,Career Services,Career Services,Networking/event question,Medium,8.2,36.5,Resolved,5,0,0,How can I schedule a career advising appointment?
GGU-SIM-00122,10-10-2025,Email,International Student Support,International Student Support,International student resource,Medium,2.7,31.7,Resolved,4,0,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-00123,11-12-2025,myGGU/Portal,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,6,21.6,Resolved,4,0,0,My myGGU login is not working and I need to check my registration before the deadline.
GGU-SIM-00124,18-04-2026,Email,International Student Support,International Student Support,International student resource,Normal,5.9,25.9,Resolved,4,1,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-00125,29-09-2025,Web Chat,Registration / Records,Registrar's Office,Transcript/record request,Normal,7.9,79.3,Resolved,5,0,1,I need help adding a course before the deadline before the deadline. Which office should handle this?
GGU-SIM-00126,12-07-2026,Web Chat,Career Services,Career Services,Career platform access,Normal,4.5,15.6,Resolved,3,0,0,I need help finding the correct career platform or event information.
GGU-SIM-00127,12-02-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Normal,7.7,76,Resolved,5,0,0,I submitted financial aid documents and want to know if anything else is needed soon.
GGU-SIM-00128,21-09-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Normal,3.6,33,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-00129,27-09-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,High,3.1,40.2,Resolved,5,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00130,16-11-2025,myGGU/Portal,Career Services,Career Services,Employer/job resource,Medium,3.4,29.3,Resolved,5,0,1,How can I schedule a career advising appointment?
GGU-SIM-00131,14-06-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Normal,7.4,42.8,Resolved,4,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-00132,05-03-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Medium,12.7,28.2,Resolved,5,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00133,22-10-2025,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,10.6,34.4,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-00134,17-07-2026,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Normal,3.1,18.9,Resolved,4,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-00135,01-06-2026,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Medium,6.8,15,Resolved,4,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00136,16-05-2026,Web Chat,International Student Support,International Student Support,International student resource,Normal,13.2,43.3,Resolved,4,1,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-00137,23-10-2025,Email,Academic Advising,Academic Advising,Graduation planning,Medium,17.4,70.2,Resolved,3,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00138,19-04-2026,Email,Career Services,Career Services,Employer/job resource,High,3.1,88.3,Resolved,4,1,0,I need help finding the correct career platform or event information.
GGU-SIM-00139,21-10-2025,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,High,2.7,15.3,Resolved,3,0,0,My myGGU login is not working and I need to check my registration tomorrow.
GGU-SIM-00140,13-07-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,1.5,20,Resolved,5,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00141,02-02-2026,myGGU/Portal,Registration / Records,Registrar's Office,Add/drop deadline question,Normal,5,63,Resolved,4,1,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00142,22-05-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Account provisioning delay,Medium,3.6,34.3,Resolved,4,0,0,My myGGU login is not working and I need to check my registration tomorrow.
GGU-SIM-00143,04-03-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,21.4,68,Resolved,4,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00144,24-02-2026,Web Chat,International Student Support,International Student Support,Travel/signature timing,High,1.7,27.4,Resolved,4,0,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-00145,23-08-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,High,4.2,27.6,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed tomorrow.
GGU-SIM-00146,22-09-2025,Email,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,3.6,82.2,Resolved,3,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00147,02-08-2026,Email,International Student Support,International Student Support,CPT/OPT information,Medium,5.4,72.3,Resolved,5,0,0,I have a question about my student status documentation and an upcoming deadline this week.
GGU-SIM-00148,21-08-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Normal,0.7,22.5,Resolved,4,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-00149,11-10-2025,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Normal,1.8,12.4,Resolved,5,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00150,12-07-2026,Phone (logged),Career Services,Career Services,Networking/event question,Normal,13.9,24.7,Resolved,4,0,0,I would like help reviewing my resume and preparing for an interview.
